customerkey;geographykey;firstname;lastname;Full_Name;yearlyincome;Gender;datefirstpurchase;city;EnglishCountryRegionName
11000;26;Jon;Yang;Jon Yang;90000,00;Male;2018-01-19;Rockhampton;Australia
11001;37;Eugene;Huang;Eugene Huang;60000,00;Male;2018-01-15;Seaford;Australia
11002;31;Ruben;Torres;Ruben Torres;60000,00;Male;2018-01-07;Hobart;Australia
11003;11;Christy;Zhu;Christy Zhu;70000,00;Female;2017-12-29;North Ryde;Australia
11004;19;Elizabeth;Johnson;Elizabeth Johnson;80000,00;Female;2018-01-23;Wollongong;Australia
11005;22;Julio;Ruiz;Julio Ruiz;70000,00;Male;2017-12-30;East Brisbane;Australia
11006;8;Janet;Alvarez;Janet Alvarez;70000,00;Female;2018-01-24;Matraville;Australia
11007;40;Marco;Mehta;Marco Mehta;60000,00;Male;2018-01-09;Warrnambool;Australia
11008;32;Rob;Verhoff;Rob Verhoff;60000,00;Female;2018-01-25;Bendigo;Australia
11009;25;Shannon;Carlson;Shannon Carlson;70000,00;Male;2018-01-27;Hervey Bay;Australia
11010;22;Jacquelyn;Suarez;Jacquelyn Suarez;70000,00;Female;2018-01-14;East Brisbane;Australia
11011;22;Curtis;Lu;Curtis Lu;60000,00;Male;2017-12-30;East Brisbane;Australia
11012;611;Lauren;Walker;Lauren Walker;100000,00;Female;2020-03-16;Bremerton;United States
11013;543;Ian;Jenkins;Ian Jenkins;100000,00;Male;2020-04-13;Lebanon;United States
11014;634;Sydney;Bennett;Sydney Bennett;100000,00;Female;2020-03-23;Redmond;United States
11015;301;Chloe;Young;Chloe Young;30000,00;Female;2020-01-18;Burbank;United States
11016;329;Wyatt;Hill;Wyatt Hill;30000,00;Male;2020-02-09;Imperial Beach;United States
11017;39;Shannon;Wang;Shannon Wang;20000,00;Female;2018-01-12;Sunbury;Australia
11018;32;Clarence;Rai;Clarence Rai;30000,00;Male;2018-01-17;Bendigo;Australia
11019;52;Luke;Lal;Luke Lal;40000,00;Male;2020-02-12;Langley;Canada
11020;53;Jordan;King;Jordan King;40000,00;Male;2019-12-29;Metchosin;Canada
11021;536;Destiny;Wilson;Destiny Wilson;40000,00;Female;2020-01-23;Beaverton;United States
11022;609;Ethan;Zhang;Ethan Zhang;40000,00;Male;2020-01-20;Bellingham;United States
11023;298;Seth;Edwards;Seth Edwards;40000,00;Male;2020-02-17;Bellflower;United States
11024;311;Russell;Xie;Russell Xie;60000,00;Male;2020-06-27;Concord;United States
11025;24;Alejandro;Beck;Alejandro Beck;10000,00;Male;2018-01-06;Hawthorne;Australia
11026;4;Harold;Sai;Harold Sai;30000,00;Male;2018-01-23;Goulburn;Australia
11027;40;Jessie;Zhao;Jessie Zhao;30000,00;Male;2018-01-16;Warrnambool;Australia
11028;17;Jill;Jimenez;Jill Jimenez;30000,00;Female;2018-01-26;St. Leonards;Australia
11029;32;Jimmy;Moreno;Jimmy Moreno;30000,00;Male;2018-01-19;Bendigo;Australia
11030;28;Bethany;Yuan;Bethany Yuan;10000,00;Female;2018-02-05;Cloverdale;Australia
11031;8;Theresa;Ramos;Theresa Ramos;20000,00;Female;2018-02-01;Matraville;Australia
11032;35;Denise;Stone;Denise Stone;20000,00;Female;2018-02-18;Melbourne;Australia
11033;9;Jaime;Nath;Jaime Nath;20000,00;Male;2018-02-15;Milsons Point;Australia
11034;12;Ebony;Gonzalez;Ebony Gonzalez;20000,00;Female;2018-02-01;North Sydney;Australia
11035;33;Wendy;Dominguez;Wendy Dominguez;10000,00;Female;2018-02-06;Cranbourne;Australia
11036;343;Jennifer;Russell;Jennifer Russell;60000,00;Female;2020-01-22;National City;United States
11037;49;Chloe;Garcia;Chloe Garcia;40000,00;Female;2020-01-20;Cliffside;Canada
11038;6;Diana;Hernandez;Diana Hernandez;10000,00;Female;2018-02-07;Lavender Bay;Australia
11039;19;Marc;Martin;Marc Martin;30000,00;Male;2018-02-07;Wollongong;Australia
11040;642;Jesse;Murphy;Jesse Murphy;30000,00;Male;2020-04-03;Tacoma;United States
11041;325;Amanda;Carter;Amanda Carter;60000,00;Female;2020-01-14;Glendale;United States
11042;338;Megan;Sanchez;Megan Sanchez;70000,00;Female;2020-01-21;Los Angeles;United States
11043;325;Nathan;Simmons;Nathan Simmons;60000,00;Male;2020-05-08;Glendale;United States
11044;25;Adam;Flores;Adam Flores;20000,00;Male;2018-02-28;Hervey Bay;Australia
11045;8;Leonard;Nara;Leonard Nara;30000,00;Male;2020-04-10;Matraville;Australia
11046;6;Christine;Yuan;Christine Yuan;30000,00;Female;2018-02-06;Lavender Bay;Australia
11047;34;Jaclyn;Lu;Jaclyn Lu;30000,00;Female;2018-02-03;Geelong;Australia
11048;39;Jeremy;Powell;Jeremy Powell;30000,00;Male;2018-02-10;Sunbury;Australia
11049;307;Carol;Rai;Carol Rai;40000,00;Female;2020-03-09;Chula Vista;United States
11050;31;Alan;Zheng;Alan Zheng;30000,00;Male;2018-02-20;Hobart;Australia
11051;21;Daniel;Johnson;Daniel Johnson;30000,00;Male;2020-12-29;Caloundra;Australia
11052;8;Heidi;Lopez;Heidi Lopez;40000,00;Female;2018-02-17;Matraville;Australia
11053;359;Ana;Price;Ana Price;60000,00;Female;2020-01-17;San Diego;United States
11054;34;Deanna;Munoz;Deanna Munoz;40000,00;Female;2018-02-03;Geelong;Australia
11055;22;Gilbert;Raje;Gilbert Raje;40000,00;Male;2018-01-31;East Brisbane;Australia
11056;10;Michele;Nath;Michele Nath;40000,00;Female;2018-02-26;Newcastle;Australia
11057;5;Carl;Andersen;Carl Andersen;70000,00;Male;2018-02-22;Lane Cove;Australia
11058;29;Marc;Diaz;Marc Diaz;80000,00;Male;2018-03-09;Findon;Australia
11059;27;Ashlee;Andersen;Ashlee Andersen;80000,00;Female;2020-02-18;Townsville;Australia
11060;40;Jon;Zhou;Jon Zhou;80000,00;Male;2018-03-19;Warrnambool;Australia
11061;23;Todd;Gao;Todd Gao;80000,00;Male;2018-03-13;Gold Coast;Australia
11062;547;Noah;Powell;Noah Powell;40000,00;Male;2020-01-07;Portland;United States
11063;634;Angela;Murphy;Angela Murphy;40000,00;Female;2020-01-12;Redmond;United States
11064;315;Chase;Reed;Chase Reed;40000,00;Male;2020-01-25;Downey;United States
11065;331;Jessica;Henderson;Jessica Henderson;60000,00;Female;2020-02-10;La Jolla;United States
11066;543;Grace;Butler;Grace Butler;70000,00;Female;2020-05-31;Lebanon;United States
11067;632;Caleb;Carter;Caleb Carter;60000,00;Male;2020-08-18;Port Orchard;United States
11068;40;Tiffany;Liang;Tiffany Liang;80000,00;Female;2020-04-30;Warrnambool;Australia
11069;23;Carolyn;Navarro;Carolyn Navarro;80000,00;Female;2018-04-17;Gold Coast;Australia
11070;39;Willie;Raji;Willie Raji;80000,00;Male;2018-04-28;Sunbury;Australia
11071;24;Linda;Serrano;Linda Serrano;80000,00;Female;2020-03-01;Hawthorne;Australia
11072;17;Casey;Luo;Casey Luo;80000,00;Female;2018-03-31;St. Leonards;Australia
11073;16;Amy;Ye;Amy Ye;70000,00;Female;2020-03-23;Springwood;Australia
11074;28;Levi;Arun;Levi Arun;70000,00;Male;2020-03-23;Cloverdale;Australia
11075;32;Felicia;Jimenez;Felicia Jimenez;80000,00;Female;2018-04-28;Bendigo;Australia
11076;19;Blake;Anderson;Blake Anderson;80000,00;Male;2018-04-21;Wollongong;Australia
11077;36;Leah;Ye;Leah Ye;80000,00;Female;2018-04-15;Melton;Australia
11078;49;Gina;Martin;Gina Martin;40000,00;Female;2020-02-15;Cliffside;Canada
11079;34;Donald;Gonzalez;Donald Gonzalez;160000,00;Male;2020-03-15;Geelong;Australia
11080;30;Damien;Chander;Damien Chander;170000,00;Male;2018-04-10;Perth;Australia
11081;311;Savannah;Baker;Savannah Baker;120000,00;Female;2020-02-12;Concord;United States
11082;322;Angela;Butler;Angela Butler;130000,00;Female;2020-01-22;Fremont;United States
11083;336;Alyssa;Cox;Alyssa Cox;130000,00;Female;2020-01-06;Lincoln Acres;United States
11084;543;Lucas;Phillips;Lucas Phillips;80000,00;Male;2020-01-04;Lebanon;United States
11085;345;Emily;Johnson;Emily Johnson;60000,00;Female;2020-12-06;Newport Beach;United States
11086;369;Ryan;Brown;Ryan Brown;70000,00;Male;2020-07-02;Santa Monica;United States
11087;307;Tamara;Liang;Tamara Liang;70000,00;Female;2020-02-25;Chula Vista;United States
11088;359;Hunter;Davis;Hunter Davis;80000,00;Male;2020-01-13;San Diego;United States
11089;337;Abigail;Price;Abigail Price;80000,00;Female;2019-12-29;Long Beach;United States
11090;338;Trevor;Bryant;Trevor Bryant;90000,00;Male;2018-08-07;Los Angeles;United States
11091;50;Dalton;Perez;Dalton Perez;90000,00;Male;2020-01-29;Haney;Canada
11092;22;Cheryl;Diaz;Cheryl Diaz;90000,00;Female;2018-04-08;East Brisbane;Australia
11093;19;Aimee;He;Aimee He;100000,00;Female;2018-04-07;Wollongong;Australia
11094;33;Cedric;Ma;Cedric Ma;70000,00;Male;2020-04-07;Cranbourne;Australia
11095;13;Chad;Kumar;Chad Kumar;70000,00;Male;2018-04-01;Port Macquarie;Australia
11096;12;Andrés;Anand;Andrés Anand;60000,00;Male;2018-04-11;North Sydney;Australia
11097;40;Edwin;Nara;Edwin Nara;60000,00;Male;2018-04-04;Warrnambool;Australia
11098;14;Mallory;Rubio;Mallory Rubio;60000,00;Female;2020-02-11;Rhodes;Australia
11099;13;Adam;Ross;Adam Ross;60000,00;Male;2018-04-07;Port Macquarie;Australia
11100;28;Latasha;Navarro;Latasha Navarro;60000,00;Female;2018-04-16;Cloverdale;Australia
11101;33;Abby;Sai;Abby Sai;70000,00;Female;2018-04-29;Cranbourne;Australia
11102;18;Julia;Nelson;Julia Nelson;80000,00;Female;2020-07-16;Sydney;Australia
11103;3;Cassie;Chande;Cassie Chande;70000,00;Female;2018-04-15;Darlinghurst;Australia
11104;23;Edgar;Sara;Edgar Sara;70000,00;Male;2018-05-04;Gold Coast;Australia
11105;8;Candace;Fernandez;Candace Fernandez;70000,00;Female;2018-05-14;Matraville;Australia
11106;40;Jessie;Liu;Jessie Liu;70000,00;Male;2018-05-18;Warrnambool;Australia
11107;17;Bianca;Lin;Bianca Lin;90000,00;Female;2018-05-01;St. Leonards;Australia
11108;13;Kari;Alvarez;Kari Alvarez;70000,00;Female;2018-05-03;Port Macquarie;Australia
11109;38;Ruben;Kapoor;Ruben Kapoor;70000,00;Male;2018-05-10;South Melbourne;Australia
11110;3;Curtis;Yang;Curtis Yang;60000,00;Male;2018-05-01;Darlinghurst;Australia
11111;34;Meredith;Gutierrez;Meredith Gutierrez;60000,00;Female;2018-05-20;Geelong;Australia
11112;25;Crystal;Wang;Crystal Wang;60000,00;Female;2018-05-25;Hervey Bay;Australia
11113;30;Micheal;Blanco;Micheal Blanco;70000,00;Male;2020-02-01;Perth;Australia
11114;14;Leslie;Moreno;Leslie Moreno;70000,00;Female;2020-03-18;Rhodes;Australia
11115;17;Alvin;Cai;Alvin Cai;70000,00;Male;2020-02-10;St. Leonards;Australia
11116;18;Clinton;Carlson;Clinton Carlson;70000,00;Male;2020-03-15;Sydney;Australia
11117;8;April;Deng;April Deng;70000,00;Female;2018-05-06;Matraville;Australia
11118;6;Alvin;Zeng;Alvin Zeng;80000,00;Male;2020-07-10;Lavender Bay;Australia
11119;13;Evan;James;Evan James;30000,00;Male;2020-02-03;Port Macquarie;Australia
11120;18;Beth;Jiménez;Beth Jiménez;40000,00;Female;2018-05-14;Sydney;Australia
11121;10;Orlando;Suarez;Orlando Suarez;70000,00;Male;2020-06-24;Newcastle;Australia
11122;12;Byron;Vazquez;Byron Vazquez;70000,00;Male;2020-02-21;North Sydney;Australia
11123;39;Philip;Alvarez;Philip Alvarez;70000,00;Male;2020-04-17;Sunbury;Australia
11124;40;Ross;Jordan;Ross Jordan;80000,00;Male;2018-05-05;Warrnambool;Australia
11125;37;Dana;Navarro;Dana Navarro;70000,00;Female;2020-01-31;Seaford;Australia
11126;11;Shaun;Carson;Shaun Carson;10000,00;Male;2018-05-28;North Ryde;Australia
11127;361;Jan;Edwards;Jan Edwards;40000,00;Female;2020-04-10;San Gabriel;United States
11128;635;Samantha;Long;Samantha Long;40000,00;Female;2020-06-19;Renton;United States
11129;638;Julia;Wright;Julia Wright;40000,00;Female;2018-08-06;Sedro Woolley;United States
11130;543;Caroline;Russell;Caroline Russell;30000,00;Female;2020-12-09;Lebanon;United States
11131;50;Amanda;Rivera;Amanda Rivera;30000,00;Female;2020-10-18;Haney;Canada
11132;51;Melissa;Richardson;Melissa Richardson;30000,00;Female;2020-04-09;Langford;Canada
11133;542;Angela;Griffin;Angela Griffin;30000,00;Female;2020-12-30;Lake Oswego;United States
11134;30;Larry;Townsend;Larry Townsend;10000,00;Male;2018-05-03;Perth;Australia
11135;302;Marcus;Harris;Marcus Harris;30000,00;Male;2020-04-18;Burlingame;United States
11136;53;Brianna;Morgan;Brianna Morgan;40000,00;Female;2020-01-03;Metchosin;Canada
11137;641;Jasmine;Taylor;Jasmine Taylor;40000,00;Female;2020-07-31;Spokane;United States
11138;325;Lauren;Davis;Lauren Davis;40000,00;Female;2020-09-19;Glendale;United States
11139;28;Tanya;Moreno;Tanya Moreno;30000,00;Female;2020-09-14;Cloverdale;Australia
11140;301;Javier;Alvarez;Javier Alvarez;30000,00;Male;2020-03-19;Burbank;United States
11141;314;Nicole;Ramirez;Nicole Ramirez;40000,00;Female;2020-05-16;Daly City;United States
11142;51;Eduardo;Patterson;Eduardo Patterson;40000,00;Male;2020-02-13;Langford;Canada
11143;334;Jonathan;Henderson;Jonathan Henderson;40000,00;Male;2020-06-15;Lakewood;United States
11144;607;Edward;Hernandez;Edward Hernandez;40000,00;Male;2020-01-25;Ballard;United States
11145;536;Jasmine;Coleman;Jasmine Coleman;40000,00;Female;2020-01-25;Beaverton;United States
11146;8;Karla;Goel;Karla Goel;40000,00;Female;2020-02-05;Matraville;Australia
